Close_Date,Company,Source,Deal_Value,Industry,Days_to_Close
2025-10-27,Frontier Consulting,Content,2634,Professional Services,106
2025-11-01,Beacon Analytics,Events,7323,Technology,23
2025-11-02,VectorWave Inc,Email,3021,Technology,37
2025-11-02,ClearView Medical,Events,8131,Healthcare,59
2025-11-04,Evergreen Partners,Google Ads,1425,Professional Services,72
2025-11-04,FirstResponse Medical,Meta,3028,Healthcare,57
2025-11-04,DataPulse Systems,Meta,2473,Technology,62
2025-11-04,Northstar Advisory,Events,8808,Professional Services,63
2025-11-05,Ironworks Industrial,Google Ads,2144,Manufacturing,38
2025-11-05,PineGrove Retail,Meta,1411,Retail,39
2025-11-07,PrecisionCraft Mfg,Events,8452,Manufacturing,17
2025-11-07,PrismView Solutions,Content,3391,Technology,73
2025-11-08,QuarterMoon Market,Meta,2915,Retail,47
2025-11-09,Harbor Strategy Group,Email,3434,Professional Services,54
2025-11-09,Streamline AI,Referral,5500,Technology,19
2025-11-10,Golden Gate Goods,Google Ads,3571,Retail,47
2025-11-12,JetStream Analytics,Email,4197,Technology,53
2025-11-15,Quantum Logic Corp,Google Ads,2920,Technology,51
2025-11-15,Blackwood Associates,Email,3704,Professional Services,50
2025-11-15,GridScale Computing,Referral,5505,Technology,20
2025-11-16,KeyLogic AI,Google Ads,2180,Technology,49
2025-11-16,Catalyst Group,Meta,2163,Professional Services,37
2025-11-16,DocuHealth Systems,Email,4379,Healthcare,42
2025-11-16,SilverLine Systems,Events,7901,Technology,33
2025-11-16,Ironworks Industrial,Referral,4534,Manufacturing,41
2025-11-17,VitaLink Health,Email,2572,Healthcare,29
2025-11-18,Bridgepoint Consulting,Content,4073,Professional Services,47
2025-11-19,Vanguard Advisors,Google Ads,1906,Professional Services,38
2025-11-19,QuarterMoon Market,Email,4248,Retail,44
2025-11-19,Radiant Consulting,Referral,7231,Professional Services,22
2025-11-20,Silverlake Goods,Email,4109,Retail,29
2025-11-21,Vanguard Advisors,Events,8911,Professional Services,42
2025-11-22,Insight Partners LLC,Content,3871,Professional Services,63
2025-11-24,Ironworks Industrial,Google Ads,3367,Manufacturing,80
2025-11-24,CarePath Solutions,Google Ads,4027,Healthcare,69
2025-11-24,PeakFlow Digital,Meta,3442,Technology,57
2025-11-27,ForgePoint Mfg,Google Ads,2277,Manufacturing,64
2025-11-28,Keystone Advisory,Referral,6459,Professional Services,19
2025-12-01,Keystone Advisory,Meta,1908,Professional Services,53
2025-12-01,SilverLine Systems,Events,8999,Technology,45
2025-12-01,KitchenCraft Co,Referral,4958,Retail,32
2025-12-03,PeakFlow Digital,Google Ads,1785,Technology,41
2025-12-03,Harbor Point Retail,Events,8086,Retail,39
2025-12-05,NexaTech Solutions,Email,3919,Technology,35
2025-12-06,Silverlake Goods,Meta,1994,Retail,60
2025-12-06,GridScale Computing,Referral,4655,Technology,28
2025-12-07,Beacon Analytics,Email,4011,Technology,42
2025-12-07,DataLens Corp,Events,12576,Technology,33
2025-12-08,Eclipse Industrial,Google Ads,3504,Manufacturing,45
2025-12-08,NeuralPath Inc,Email,4105,Technology,29
2025-12-08,Bridgepoint Consulting,Events,12468,Professional Services,60
2025-12-09,UpLink Solutions,Google Ads,3521,Technology,49
2025-12-09,Healix Technologies,Google Ads,4481,Healthcare,46
2025-12-09,UpLink Solutions,Events,9052,Technology,29
2025-12-10,NeuralPath Inc,Email,4947,Technology,36
2025-12-10,LuxeHome Retail,Referral,2859,Retail,36
2025-12-12,Oakwood Strategy,Content,2186,Professional Services,70
2025-12-12,TimberLine Retail,Content,2135,Retail,62
2025-12-16,UpLink Solutions,Google Ads,2960,Technology,62
2025-12-17,BioStar Health,Google Ads,1537,Healthcare,47
2025-12-17,GridScale Computing,Meta,3316,Technology,75
2025-12-17,Bridgepoint Consulting,Referral,1800,Professional Services,27
2025-12-18,RedBarn Trading,Google Ads,2229,Retail,68
2025-12-18,Urban Harvest Co,Meta,2046,Retail,40
2025-12-18,Archer Associates,Referral,3823,Professional Services,16
2025-12-19,Blackwood Associates,Email,3462,Professional Services,39
2025-12-21,ByteCraft Systems,Google Ads,2464,Technology,85
2025-12-22,VectorWave Inc,Email,4383,Technology,41
2025-12-23,JetStream Analytics,Events,12416,Technology,39
2025-12-24,Catalyst Group,Google Ads,3873,Professional Services,61
2025-12-24,ForgePoint Mfg,Email,2570,Manufacturing,44
2025-12-24,MedCore Systems,Content,2557,Healthcare,20
2025-12-25,Evergreen Partners,Meta,1442,Professional Services,60
2025-12-27,Agile Horizon,Google Ads,2736,Technology,61
2025-12-27,Healix Technologies,Meta,2316,Healthcare,42
2025-12-27,Frontier Consulting,Email,2820,Professional Services,32
2025-12-28,Streamline AI,Content,1416,Technology,49
